hex	_owner	_iso_region	pop_14	pop_15_64	pop_65
#BE7DBA	ABW	AW-X01~	17739	63276	10424
#81D8AA	AFG	AF-BDS	298565	389130	19810
#57BB7A	AFG	AF-TAK	313759	408935	20819
#7A505A	AFG	AF-KDZ	316712	412784	21015
#D5E898	AFG	AF-BAL	398144	518920	26418
#B4898F	AFG	AF-JOW	172152	224372	11423
#AEBC49	AFG	AF-FYB	317978	414434	21099
#F065BD	AFG	AF-BDG	158650	206776	10527
#42B9C9	AFG	AF-HER	647670	844140	42974
#EAF95A	AFG	AF-NIM	50210	65440	3331
#895385	AFG	AF-FRA	169198	220522	11227
#DE8D2B	AFG	AF-KNR	149368	194678	9911
#D68F4A	AFG	AF-NUR	48942	63788	3247
#5686E0	AFG	AF-NAN	499420	650920	33139
#7B8622	AFG	AF-KHO	202534	263972	13439
#AC91DB	AFG	AF-PKA	146414	190827	9715
#FC784E	AFG	AF-PIA	188188	245275	12487
#0B25D3	AFG	AF-ZAB	104221	135836	6915
#E51D12	AFG	AF-KAN	375359	489223	24906
#1A8E92	AFG	AF-HEL	314820	410320	20889
#36316E	AFG	AF-URU	117305	152889	7784
#71D6E7	AFG	AF-GHA	394768	514520	26194
#9534EC	AFG	AF-PAR	224056	292022	14867
#69FC36	AFG	AF-KAB	835450	1088880	55434
#63F094	AFG	AF-LAG	140928	183679	9351
#A8530B	AFG	AF-LOG	124900	162788	8287
#70B5CF	AFG	AF-KAP	149368	194678	9911
#1A5F1F	AFG	AF-WAR	208863	272221	13859
#DD487A	AFG	AF-BAM	145570	189728	9659
#B24196	AFG	AF-PAR	224056	292022	14867
#FD8DE1	AFG	AF-SAR	178059	232072	11815
#D542EC	AFG	AF-GHO	238824	311270	15847
#561E3F	AFG	AF-BGL	299831	390780	19894
#B3FF4F	AFG	AF-SAM	131229	171038	8707
#62F1A4	AFG	AF-URU	117305	152889	7784
#3BF8C2	AGO	AO-CAB	103400	110000	6600
#1119CA	AGO	AO-CCU	75200	80000	4800
#393E4F	AGO	AO-MOX	188000	200000	12000
#9A77B7	AGO	AO-NAM	84600	90000	5400
#6B5EAE	AGO	AO-CNN	131600	140000	8400
#0A279E	AGO	AO-ZAI	141000	150000	9000
#869F5E	AGO	AO-UIG	517000	550000	33000
#ECD75F	AGO	AO-LNO	211500	225000	13500
#F20D4B	AGO	AO-MAL	376000	400000	24000
#F4AB1E	AGO	AO-LSU	103400	110000	6600
#E8D981	AGO	AO-CUS	517000	550000	33000
#58C6C6	AGO	AO-BGU	94000	100000	6000
#6288B6	AGO	AO-BGO	705000	750000	45000
#1A10D5	AGO	AO-LUA	1786000	1900000	114000
#B2520F	AGO	AO-BIE	564000	600000	36000
#FB0CEB	AGO	AO-CNO	141000	150000	9000
#F238D1	AGO	AO-HUI	752000	800000	48000
#D8ADA2	AGO	AO-HUA	799000	850000	51000
#FE1D60	AIA	AI-X02~	242	592	76
#8C4D8B	AIA	AI-X10~	112	275	35
#F1FD36	AIA	AI-X06~	285	699	90
#31D7EC	AIA	AI-X13~	198	485	62
#5C5FDA	AIA	AI-X05~	275	672	87
#E78427	AIA	AI-X07~	215	525	68
#8458ED	AIA	AI-X09~	248	605	78
#9143D0	AIA	AI-X14~	350	855	110
#804484	AIA	AI-X01~	260	635	82
#3540BA	AIA	AI-X11~	135	330	42
#2EB3D0	AIA	AI-X08~	205	501	64
#403CCE	AIA	AI-X04~	290	710	91
#586662	AIA	AI-X00	0	0	0
#8943B3	AIA	AI-X03~	230	562	72
#FD3E55	AIA	AI-X12~	160	390	50
#B2D854	ALB	AL-09	66144	116724	9132
#0D8981	ALB	AL-07	37978	67020	5244
#5FD5DB	ALB	AL-06	91520	161505	12638
#FE97F3	ALB	AL-03	84403	148946	11656
#7A14DE	ALB	AL-05	38640	68188	5336
#3AED10	ALB	AL-12	66010	116488	9113
#18A341	ALB	AL-10	88421	156037	12210
#66F925	ALB	AL-04	131752	232515	18195
#BB5159	ALB	AL-11	205368	362428	28364
#3CC643	ALB	AL-02	65322	115275	9020
#D2461F	ALB	AL-08	55040	97129	7600
#DFC244	ALB	AL-01	66392	117162	9168
#543150	ALD	AX-X11~	425	1534	401
#2DAFF4	ALD	AX-X04~	101	364	95
#82F88C	ALD	AX-X12~	58	208	54
#48A88D	ALD	AX-X14~	31	111	29
#21C7B0	ALD	AX-X02~	162	585	153
#7D8195	ALD	AX-X09~	191	689	180
#43EDA0	ALD	AX-X16~	92	331	87
#A8490B	ALD	AX-X06~	63	227	59
#0EA948	ALD	AX-X13~	85	306	80
#59B3A1	ALD	AX-X10~	1929	6966	1823
#BF2869	ALD	AX-X15~	61	221	58
#5FE38F	AND	AD-05	375	1800	325
#FE1BA4	ARE	AE-FU	21824	76384	992
#D38DFF	ARE	AE-SH	118360	414260	5380
#9418E9	ARE	AE-RK	38280	133980	1740
#F980AD	ARE	AE-DU	207680	726880	9440
#8526A0	ARE	AE-X01~	220	770	10
#0D888D	ARE	AE-X02~	110	385	5
#BECDD6	ARE	AE-AZ	262460	918610	11930
#70A5A7	ARE	AE-UQ	10780	37730	490
#D73024	ARE	AE-AJ	39600	138600	1800
#69765B	ARG	AR-E	337000	725000	96000
#D63328	ARG	AR-A	395000	618000	66000
#533161	ARG	AR-Y	218000	348000	45000
#6FCC2C	ARG	AR-P	185000	278000	23000
#B6EAAC	ARG	AR-N	365000	545000	55000
#C731B2	ARG	AR-H	360000	560000	63000
#733DBB	ARG	AR-W	315000	555000	60000
#48EF52	ARG	AR-K	105000	198000	30000
#8BE8E0	ARG	AR-F	102000	165000	22000
#1C1C85	ARG	AR-J	205000	375000	40000
#B3C1D6	ARG	AR-M	455000	975000	149000
#719CFC	ARG	AR-Q	155000	295000	23000
#627ABF	ARG	AR-U	128000	260000	25000
#D46F52	ARG	AR-R	165000	345000	42000
#6063F6	ARG	AR-Z	62000	124000	10000
#8C9D7C	ARG	AR-V	32000	66000	3000
#96604A	ARG	AR-B	3800000	8600000	1427000
#28BBF2	ARG	AR-C	475000	1850000	453000
#503C78	ARG	AR-S	810000	1820000	370000
#3B90C3	ARG	AR-T	435000	805000	98000
#787A0D	ARG	AR-G	305000	445000	54000
#BFB5F0	ARG	AR-D	115000	225000	28000
#CA4C5B	ARG	AR-L	82000	186000	31000
#D1F92D	ARG	AR-X	855000	1850000	361000
#4E1D7D	ARM	AM-TV	35200	88500	10600
#B35A46	ARM	AM-LO	73500	185000	25000
#FD54DF	ARM	AM-SH	79000	176000	27000
#C45916	ARM	AM-GR	81000	175000	22000
#421FF9	ARM	AM-VD	41500	84000	9500
#1C9088	ARM	AM-SU	42000	95000	15000
#DBAC19	ARM	AM-AR	86000	172000	20000
#49FE3D	ARM	AM-AG	92000	195000	26000
#E094C5	ARM	AM-AV	74000	165000	24000
#EF37B0	ARM	AM-KT	48500	102000	12400
#5A9999	ARM	AM-ER	245000	755000	102000
#F1A98A	ASM	AS-X05~	8900	13100	900
#B156FC	ASM	AS-X01~	9400	13200	800
#10B27A	ASM	AS-X02~	620	750	60
#526327	ASM	AS-X03~	12	25	0
#67D478	ASM	AS-X04~	0	0	0
#22E799	ATA	AQ-X01~	0	1000	0
#86E51F	ATA	AQ-X02~	0	0	0
#393D81	ATC	AU-X04~	0	0	0
#3952FD	ATF	TF-X03~	0	60	0
#592FA4	ATF	TF-X01~	0	40	0
#E55242	ATF	TF-X02~	0	30	0
#9664C3	ATF	TF-X1~	0	20	0
#FDDBDA	ATG	AG-06	2100	3200	400
#1E3357	ATG	AG-08	1800	2800	350
#889188	ATG	AG-07	2400	4600	600
#39C789	ATG	AG-03	11800	26500	3500
#3BB546	ATG	AG-04	2500	4900	650
#A5500E	ATG	AG-05	1850	3800	550
#F5D585	ATG	AG-10	420	810	90
#B536E2	ATG	AG-11	0	0	0
#12909E	AUS	AU-WA	408000	1260000	222000
#408A79	AUS	AU-NT	56000	138000	8000
#B1F318	AUS	AU-SA	295000	965000	215000
#FC49A9	AUS	AU-QLD	780000	2360000	440000
#E63C66	AUS	AU-NSW	1320000	4250000	850000
#3A6FE9	AUS	AU-X02~	140	420	40
#488FD9	AUS	AU-VIC	935000	3060000	615000
#6C295A	AUS	AU-TAS	98000	298000	66000
#0B600A	AUS	AU-X03~	0	0	0
#F87527	AUS	AU-NSW	1320000	4250000	850000
#5E54BA	AUS	AU-ACT	68000	225000	26000
#69905C	AUT	AT-3	268400	1031000	243000
#683A2B	AUT	AT-4	258000	918500	201000
#DE86BB	AUT	AT-1	44800	186000	47600
#502374	AUT	AT-8	73500	231000	46500
#E6BBF2	AUT	AT-7	123000	448000	102500
#DA887B	AUT	AT-5	94000	348000	73500
#1DB959	AUT	AT-2	94500	372000	92800
#22F36D	AUT	AT-6	198000	792000	194500
#0C4EA6	AUT	AT-9	231000	1048000	272000
#0D9FA5	AZE	AZ-QAZ	27100	50200	5400
#82E73D	AZE	AZ-AGA	23500	43100	4800
#CD1794	AZE	AZ-TOV	48900	91200	9500
#C5DB77	AZE	AZ-GAD	29500	52800	5600
#78F5D4	AZE	AZ-DAS	10200	18500	2100
#A23960	AZE	AZ-KAL	24600	43500	3900
#253988	AZE	AZ-LAN	64500	116200	11500
#DF273C	AZE	AZ-QBI	23800	44100	4600
#A3EAAE	AZE	AZ-ZAN	11800	20900	2200
#58B5C9	AZE	AZ-SAR	16100	28800	2900
#24F8B2	AZE	AZ-SAD	3900	7200	700
#85C885	AZE	AZ-KAN	8200	14800	1500
#D374E2	AZE	AZ-BAB	22500	41000	4200
#BE1279	AZE	AZ-SAH	16500	29500	3100
#374433	AZE	AZ-CUL	12800	23200	2400
#518D60	AZE	AZ-ORD	14200	25800	2800
#E3A254	AZE	AZ-BAL	28900	51500	5800
#185850	AZE	AZ-ZAQ	36500	65200	7100
#17C2B7	AZE	AZ-XAC	38900	69500	7400
#1AF927	AZE	AZ-QUS	27800	49100	5300
#0ACE3E	AZE	AZ-OGU	13200	23500	2500
#276D63	AZE	AZ-SA	54100	96500	10800
#EA35EC	AZE	AZ-QAX	17800	31500	3500
#6E70A9	AZE	AZ-QAB	30500	54200	5900
#4F5E98	AZE	AZ-SMX	16900	30100	3200
#639C51	AZE	AZ-IMI	35800	64200	6100
#7720B6	AZE	AZ-BIL	27500	49200	4800
